Ten_quan,Mon_an,Dia_chi,Co_so,Toa_do,Thoi_gian_mo_cua,Price,meal_type,cuisine
Xôi Ngọc,Xôi mặn,509 CMT8,B,"10.785328789102122, 106.67178594546704",16h-23h,35000,fast food,vietnamese
Tất Ký Mì Gia,Mì thập cẩm,499/4A CMT8,B,"10.782498495946738, 106.67298607418056",7h-11h (T3-CN) ; 16h-23h (t2-CN),70000,full meal,vietnamese
Cơm tấm Xí Muội - Nem nướng buôn mê,Cơm tấm,"1090 Lạc Long Quân, P.8, Tân Bình",B,"10.785169441518338, 106.65106614897121","Cơm tấm: 7h - 19h (T2-T7) ; 7h - 15h (Chủ Nhật)
Nem nướng: 16h - 21h",50000,full meal,vietnamese
Bánh mì Tăng,Bánh mì,"822 Nguyễn Trãi, quận 5",B,"10.753232098190846, 106.65794719137065",5h30-23h30,20000,fast food,vietnamese
Aroy Thái,Mì - Hủ tiếu thái,86 Hoa Cúc,"A, H","10.798410552288194, 106.6896225219695",7h-21h,65000,full meal,vietnamese
Bánh Flan Hoài Thương,Ăn vặt,10 Cô Giang,"A, H","10.795637897962266, 106.68288106247007",10:00 - 22:00,30000,snack,dessert
Sủi cảo Huy Ngân,Sủi cảo,"538 Lý Thái Tổ, P. 10",B,"10.768109728083516, 106.67124521835787",10:00 - 22:00,50000,full meal,vietnamese
Chè Thạch Xanh,Chè,"91 Lý Thường Kiệt, P.7",B,"10.76056813231064, 106.66128395089034",18:00 - 21:00,14000,snack,dessert
Tiềm Ngã Ba Đường,Ăn vặt,"Y12 Hồng Lĩnh, P. 15",B,"10.78063109488847, 106.66377570911537",13:00 - 22:00,30000,snack,vietnamese
Khanh - Bánh Khọt Vũng Tàu,Bánh khọt,"7 Đồng Nai, P. 15",B,"10.779749663498556, 106.66271625273917",10:00 - 21:00,50000,full meal,vietnamese
Tiệm mì Chọn Tui,Mì,"292 Tô Hiến Thành, P. 15",B,"10.777587064409405, 106.66487912815435",07:30 - 21:15,45000,full meal,vietnamese
Shabu Ya - Vạn Hạnh Mall,Lẩu Nhật,"Tầng 6,  19 Tầng 6 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12",B,"10.77132688551971, 106.66989362815431",10:00 - 21:30,428000,full meal,japanese
Bánh Canh Trảng Bàng,Bánh canh,"439-441 Nguyễn Tri Phương, P. 8",B,"10.765255716977665, 106.67020470012156",10:00 - 22:00,60000,full meal,vietnamese
Tân Hương Nam Quán,Mì sụn Bạc Liêu,"382 Bà Hạt, P.8",B,"10.766098577130355, 106.66934638978903",08:00 - 22:00,80000,full meal,vietnamese
STEAK FRITES SAIGON,Steak và spaghetti,"7/96 Thành Thái, P. 14",B,"10.770893285823547, 106.67474097362664",10:00-14:00 | 18:00-21:00,150000,full meal,western
Ốc Bông,Ốc,"260 Nguyễn Tiểu La, P.8",B,"10.768311198480282, 106.6729159669025",16:00-23:00,100000,snack,vietnamese
Thanh Tâm Ký,Bò Kho & Hủ Tiếu Mì,51 Trần Hữu Trang,"A, H","10.794157742537477, 106.67380754895663",05:30 - 13:30,30000,full meal,vietnamese
